support,itemsets,length
0.1553333333333333,{'abrasive cleaner'},1
0.149,{'baby cosmetics'},1
0.1583333333333333,{'bags'},1
0.1476666666666666,{'bottled beer'},1
0.1416666666666666,{'brandy'},1
0.1573333333333333,{'butter milk'},1
0.1526666666666666,{'canned beer'},1
0.154,{'chicken'},1
0.1513333333333333,{'cream'},1
0.1346666666666666,{'cream cheese'},1
0.1433333333333333,{'curd'},1
0.1646666666666666,{'decalcifier'},1
0.1523333333333333,{'finished products'},1
0.148,{'frozen fish'},1
0.1443333333333333,{'frozen potato products'},1
0.142,{'hard cheese'},1
0.1556666666666666,{'liver loaf'},1
0.1486666666666666,{'misc. beverages'},1
0.1503333333333333,{'organic products'},1
0.1533333333333333,{'processed cheese'},1
0.1383333333333333,{'prosecco'},1
0.1566666666666666,{'rice'},1
0.1486666666666666,{'salt'},1
0.1483333333333333,{'semi-finished bread'},1
0.1543333333333333,{'snack products'},1
0.1456666666666666,{'sparkling wine'},1
0.158,{'specialty cheese'},1
0.1606666666666666,{'syrup'},1
0.1603333333333333,{'tropical fruit'},1
0.147,{'whipped/sour cream'},1
